source_name,grupa,page,matched_id,matched_naziv,status,match_type,kcal,p_g,m_g,uh_g,holesterol_mg,suggestions
SOK OD NARANDŽE,"PIĆA, NAPICI I OSTALO",4,sok_od_narandze,sok od narandže,applied,exact,45.0,0.7,0.2,10.4,0.0,sok_od_narandze:sok od narandže:1.00
BRAVO Multivitamin,"PIĆA, NAPICI I OSTALO",4,,,review,,27.8,0.27,0.1,5.97,,
MULTIVITA,"PIĆA, NAPICI I OSTALO",4,,,review,,357.0,,,81.1,0.0,
CEDEVITA,"PIĆA, NAPICI I OSTALO",4,,,review,,370.0,0.0,0.0,84.0,0.0,
SIRUP OD VIŠNJE,"PIĆA, NAPICI I OSTALO",4,,,review,,248.0,0.0,0.0,62.0,0.0,
SIRUP OD BOROVNICE,"PIĆA, NAPICI I OSTALO",4,,,review,,254.0,0.0,0.0,63.4,0.0,
BITER LEMON,"PIĆA, NAPICI I OSTALO",4,,,review,,52.0,0.0,0.0,13.0,0.0,
COCA COLA,"PIĆA, NAPICI I OSTALO",4,,,review,,39.0,0.0,0.0,10.5,0.0,
PIVO,"PIĆA, NAPICI I OSTALO",4,,,review,,43.0,0.3,0.0,3.6,0.0,
"VINO belo, stono","PIĆA, NAPICI I OSTALO",4,,,review,,85.0,0.1,0.0,3.4,0.0,
"VINO crveno, stono","PIĆA, NAPICI I OSTALO",4,,,review,,80.0,0.2,0.0,2.5,0.0,
LIKERI,"PIĆA, NAPICI I OSTALO",4,,,review,,242.0,0.0,0.0,29.0,0.0,
"BRENDI, DŽIN, RUM (40vol% alkoh)","PIĆA, NAPICI I OSTALO",4,,,review,,231.0,0.0,0.0,0.0,0.0,
KONJAK (38 vol % alkohola),"PIĆA, NAPICI I OSTALO",4,,,review,,228.0,0.0,0.0,1.0,0.0,
RAKIJA (33 vol % alkohola),"PIĆA, NAPICI I OSTALO",4,,,review,,193.0,0.0,0.0,1.0,0.0,
INDIJSKI ćAJ,"PIĆA, NAPICI I OSTALO",4,,,review,,108.0,19.6,2.0,3.0,0.0,
KAKAO U PRAHU,"PIĆA, NAPICI I OSTALO",4,,,review,,312.0,17.0,20.0,16.0,0.0,
NESQUIK,"PIĆA, NAPICI I OSTALO",4,,,review,,360.0,4.2,2.7,79.0,,
KAFA u zrnu,"PIĆA, NAPICI I OSTALO",4,,,review,,287.0,10.4,15.4,28.5,0.0,
KAFA instant,"PIĆA, NAPICI I OSTALO",4,,,review,,100.0,14.6,0.0,11.0,0.0,
MINERALNA VODA,"PIĆA, NAPICI I OSTALO",4,mineralna_voda,mineralna voda,applied,exact,0.0,0.0,0.0,0.0,0.0,mineralna_voda:mineralna voda:1.00
SIRčE destilovano,ZAČINI I INDUSTRIJSKE SUPE,4,,,review,,12.0,0.0,0.0,5.0,0.0,
SIRčE jabukovo,ZAČINI I INDUSTRIJSKE SUPE,4,,,review,,13.0,0.0,0.0,5.3,0.0,
SIRčE vinsko,ZAČINI I INDUSTRIJSKE SUPE,4,,,review,,14.0,0.0,0.0,5.6,0.0,
SO - morska i stona,ZAČINI I INDUSTRIJSKE SUPE,4,,,review,,0.0,0.0,0.0,0.0,0.0,
CIMET,ZAČINI I INDUSTRIJSKE SUPE,4,,,review,,307.0,14.0,3.0,56.0,0.0,
ORIGANO,ZAČINI I INDUSTRIJSKE SUPE,4,,,review,,330.0,11.0,10.0,49.0,0.0,
BIBER crni,ZAČINI I INDUSTRIJSKE SUPE,5,crni_biber,crni biber,applied,manual,279.0,11.0,3.0,52.0,0.0,
PAPRIKA crvena mlevena,ZAČINI I INDUSTRIJSKE SUPE,5,slatka_mlevena_paprika,slatka mlevena paprika,applied,manual,300.0,15.0,15.0,70.0,0.0,
PERŠUNOV LIST sušeni,ZAČINI I INDUSTRIJSKE SUPE,5,persun_suvi,peršun suvi,applied,manual,400.0,30.0,10.0,70.0,0.0,
KVASAC pekarski,ZAČINI I INDUSTRIJSKE SUPE,5,,,review,,53.0,11.4,0.4,1.0,0.0,
KVASAC suvi,ZAČINI I INDUSTRIJSKE SUPE,5,kvasac_suvi,kvasac suvi,applied,exact,282.0,36.9,1.6,38.9,0.0,kvasac_suvi:kvasac suvi:1.00 | kvasac_svez:kvasac svež:0.82
